Abreviatura Nacional ;Nombre de región ;Población (2017) ;Superficie (km²) ;PIB per cápita (USD) ;Capital ;Densidad (hab/km²) ;;;;;;;;;;;;;;;;
AP ;Arica y Parinacota;226 068 ;16 873,3 ;18 308 ;Arica ;13,4;  ;;;;;;;;;;;;;;;
TA ;Tarapacá ;330 508 ;42 225,8 ;29129;Iquique ;7,8;;  ;;;;;;;;;;;;;;
AN ;Antofagasta ;607 534 ;126 049,1 ;30698;Antofagasta ;4,81;;;  ;;;;;;;;;;;;;
AT ;Atacama;286 168 ;75 176,2 ;28 979 ;Copiapó ;3,8;;;;  ;;;;;;;;;;;;
CO ;Coquimbo;757 586 ;40 579,9 ;14 338 ;La Serena ;18,67;;;;;  ;;;;;;;;;;;
VA ;Valparaíso;1 815 902 ;16 396,1 ;14 510 ;Valparaíso ;110,75;;;;;;  ;;;;;;;;;;
RM ;Metropolitana de Santiago;7 112 808 ;15 403,2 ;24 850 ;Santiago ;461,77;;;;;;;  ;;;;;;;;;
LI ;'Lib. Gral. Bernardo O''Higgins';914 555 ;16 387,0 ;14 840 ;Rancagua ;55,81;;;;;;;;  ;;;;;;;;
ML ;Maule ;1 044 950 ;30 296,1 ;12 695 ;Talca ;34,5;;;;;;;;;  ;;;;;;;
NB ;Ñuble;480 609 ;13 178,5 ;;Chillán ;36,47;;;;;;;;;;  ;;;;;;
BI ;Biobío;1 556 805 ;23 890,2 ;13 281 ;Concepción ;65,16;;;;;;;;;;;  ;;;;;
AR ;La Araucanía;957 224 ;31 842,3 ;11 064 ;Temuco ;30,06;;;;;;;;;;;;  ;;;;
LR ;Los Ríos;384 837 ;18 429,5 ;11 824 ;Valdivia ;20,88;;;;;;;;;;;;;  ;;;
LL ;Los Lagos;828 708 ;48 583,6 ;12 196 ;Puerto Montt ;17,06;;;;;;;;;;;;;;  ;;
AI ;Aysén del General Carlos Ibáñez del Campo;103 158 ;108 494,4 ;13085;Coyhaique ;0,95;;;;;;;;;;;;;;;  ;
MA ;Magallanes y Antártica Chilena;166 533 ;132 297,2 ;15 601 ;Punta Arenas ;1,26;;;;;;;;;;;;;;;;  
