Código Único Territorial;Nombre;Nombre Provincia;Nombre Region;Superficie (km2);Población 2020;Densidad(hab./km2)
15101;Arica;Arica;AP;4799,4;247552;51.6
15102;Camarones;Arica;AP;3927;1233;0.31
15201;Putre;Parinacota;AP;5902,5;2515;0.43
15202;General Lagos;Parinacota;AP;2244,4;810;0.36
1101;Iquique;Iquique;TA;2242,1;223463;99,6
1107;Alto Hospicio;Iquique;TA;572.9;129999;226,8
1401;Pozo Almonte;Tamarugal;TA;13765,8;17395;1.26
1402;Camiña;Tamarugal;TA;2200,2;1375;0.62
1403;Colchane;Tamarugal;TA;4015,6;1583;0.39
1404;Huara;Tamarugal;TA;10474,6;3000;0.29
1405;Pica;Tamarugal;TA;8934,3;5958;0,66
2101;Antofagasta;Antofagasta;AN;30718,1;425725;13.8
2102;Mejillones;Antofagasta;AN;3803,9;14776;3.88
2103;Sierra Gorda;Antofagasta;AN;12886;1746;0.14
2104;Taltal;Antofagasta;AN;20405,1;13657;0.67
2201;Calama;El Loa;AN;15596,9;190336;12.2
2202;Ollagüe;El Loa;AN;2964;287;0.09
2203;San Pedro de Atacama;El Loa;AN;23439;10434;0.45
2301;Tocopilla;Tocopilla;AN;4038,8;28079;6.95
2302;María Elena;Tocopilla;AN;12197;6814;0.55
3101;Copiapó;Copiapó;AT;16681,3;171766;10.2
3102;Caldera;Copiapó;AT;4666,6;19426;4.16
3103;Tierra Amarilla;Copiapó;AT;11191;14312;1.27
3201;Chañaral;Chañaral;AT;5772;13164;2.28
3202;Diego de Almagro;Chañaral;AT;18664;14358;0.77
3301;Vallenar;Huasco;AT;7084;57009;08.04
3302;Alto del Carmen;Huasco;AT;5939;5729;0.96
3303;Freirina;Huasco;AT;3207,9;7681;2.39
3304;Huasco;Huasco;AT;1601,4;11264;07.03
4101;La Serena;Elqui;CO;1892,8;249656;131.8
4102;Coquimbo;Elqui;CO;1429;256735;179.6
4103;Andacollo;Elqui;CO;310;11791;38.0
4104;La Higuera;Elqui;CO;4158,2;4450;01.07
4105;Paihuano;Elqui;CO;1495;4675;3.12
4106;Vicuña;Elqui;CO;7610;29741;3.90
4201;Illapel;Choapa;CO;2629;32801;12.4
4202;Canela;Choapa;CO;2196,6;9546;4.34
4203;Los Vilos;Choapa;CO;1823,8;23374;12.8
4204;Salamanca;Choapa;CO;3445;29110;8.44
4301;Ovalle;Limarí;CO;3835;121269;31.6
4302;Combarbalá;Limarí;CO;2257,5;13884;6.14
4303;Monte Patria;Limarí;CO;4366,9;32527;7.44
4304;Punitaqui;Limarí;CO;1339;12165;09.08
4305;Río Hurtado;Limarí;CO;2180;4372;02.01
5101;Valparaíso;Valparaíso;VA;401.6;315732;810.2
5102;Casablanca;Valparaíso;VA;953;29170;30.6
5103;Concón;Valparaíso;VA;76;45889;603.8
5104;Juan Fernández;Valparaíso;VA;149.4;1033;6.93
5105;Puchuncaví;Valparaíso;VA;300;20071;66.9
5107;Quintero;Valparaíso;VA;148;36135;244.1
5109;Viña del Mar;Valparaíso;VA;121.6;361371;2962
5201;Isla de Pascua;Isla de Pascua;VA;163.6;8277;50.4
5301;Los Andes;Los Andes;VA;1248;68093;54.5
