CUT COMUNA,Nombre,Comisaria,Reten,Subcomisaria,Prefectura,Tenencia,Zona
15101,Arica,4,3,2,1,0,1
15102,Camarones,0,1,0,0,1,0
15201,Putre,1,3,0,0,1,0
15202,General Lagos,0,2,0,0,1,0
1101,Iquique,3,1,0,0,1,0
1107,Alto Hospicio,1,0,0,0,0,0
1401,Pozo Almonte,1,1,0,0,0,0
1403,Camina,0,1,0,0,0,0
1402,Colchane,0,0,1,0,0,0
1405,Huara,0,1,0,0,1,0
1404,Pica,0,0,0,0,1,0
2101,Antofagasta,3,0,2,0,0,0
2102,Mejillones,0,0,0,0,1,0
2103,Sierra Gorda,0,1,0,0,1,0
2104,Taltal,1,1,0,0,0,0
2201,Calama,1,2,0,0,0,0
2202,Ollague,0,1,0,0,0,0
2203,San Pedro de Atacama,0,0,0,0,0,0
2301,Tocopilla,1,0,0,0,0,0
2302,Maria Elena,0,0,0,0,1,0
3101,Copiapo,2,1,2,1,1,1
3102,Caldera,0,0,1,0,0,0
3103,Tierra Amarilla,0,1,1,0,0,0
3201,Chanaral,1,1,0,0,0,0
3202,Diego de Almagro,1,1,1,0,0,0
3301,Vallenar,1,1,0,0,1,0
3302,Alto del Carmen,0,3,0,0,1,0
3303,Freirina,0,0,0,0,1,0
3304,Huasco,0,0,1,0,0,0
4101,La Serena,3,0,2,1,1,1
4102,Coquimbo,1,2,1,0,5,0
4103,Andacollo,0,0,0,0,1,0
4104,La Higuera,0,1,0,0,0,0
4105,Paihuano,0,1,0,0,1,0
4106,Vicuna,1,1,0,0,1,0
4201,Illapel,1,0,0,0,0,0
4202,Canela,0,1,0,0,1,0
4203,Los Vilos,0,1,1,0,0,0
4204,Salamanca,0,1,1,0,0,0
4301,Ovalle,1,1,0,0,2,0
4302,Combarbala,0,1,1,0,0,0
4303,Monte Patria,0,5,1,0,0,0
4304,Punitaqui,0,0,0,0,1,0
4305,Rio Hurtado,0,2,0,0,0,0
5101,Valparaiso,5,2,3,1,4,1
5102,Casablanca,1,1,0,0,0,0
5103,Concon,1,0,0,0,0,0
5104,Juan Fernandez,0,0,0,0,1,0
5105,Puchuncavi,0,3,0,0,1,0
5107,Quintero,0,0,1,0,0,0
5109,Vina del Mar,2,1,2,0,4,0
5201,Isla de Pascua,0,0,0,0,1,0
5301,Los Andes,1,0,1,0,0,0
5302,Calle Larga,0,0,0,0,1,0
5303,Rinconada,0,0,0,0,1,0
5304,San Esteban,0,0,0,0,1,0
5401,La Ligua,1,2,0,0,0,0
5402,Cabildo,0,0,0,0,1,0
5403,Papudo,0,1,0,0,0,0
5404,Petorca,0,2,0,0,2,0
5405,Zapallar,0,3,0,0,0,0
5501,Quillota,1,1,0,0,0,0
5502,La Calera,1,0,0,0,0,0
5503,Hijuelas,0,0,0,0,0,0
5504,La Cruz,0,0,0,0,1,0
5506,Nogales,0,1,0,0,1,0
5601,San Antonio,1,1,1,0,0,0
5602,Algarrobo,1,0,0,0,0,0
5603,Cartagena,1,0,0,0,0,0
5604,El Quisco,0,0,1,0,0,0
5605,El Tabo,0,0,0,0,2,0
5606,Santo Domingo,0,0,1,0,0,0
5701,San Felipe,1,1,1,0,0,0
5702,Catemu,0,1,0,0,2,0
5703,Llay-Llay,0,0,1,0,0,0
5704,Panquehue,0,1,1,0,0,0
5705,Putaendo,0,3,0,0,1,0
5706,Santa Maria,0,0,0,0,1,0
5801,Quilpue,1,0,0,0,1,0
5802,Limache,1,0,0,1,0,0
5803,Olmue,0,0,0,0,1,0
5804,Villa Alemana,1,0,0,0,0,0
13101,Santiago,8,1,0,1,1,1
13102,Cerrillos,1,0,1,0,0,0
13103,Cerro Navia,1,0,0,0,0,0
13104,Conchali,1,1,1,0,0,0
13105,El Bosque,1,0,0,0,1,0
13106,Estacion Central,2,0,0,0,0,0
13107,Huechuraba,1,0,0,0,0,0
13108,Independencia,3,0,1,0,1,0
13109,La Cisterna,1,0,0,1,1,0
13110,La Florida,2,0,2,0,0,0
13111,La Granja,1,0,1,0,1,0
13112,La Pintana,1,0,0,0,1,0
13113,La Reina,1,0,0,0,0,0
13114,Las Condes,2,0,1,0,0,0
13115,Lo Barnechea,1,1,1,0,0,0
13116,Lo Espejo,3,0,0,0,2,0
13117,Lo Prado,1,0,0,0,0,0
13118,Macul,1,0,0,0,0,0
13119,Maipu,2,0,1,0,0,0
13120,nunoa,2,0,0,1,0,1
13121,Pedro Aguirre Cerda,1,0,0,0,3,0
13122,Penalolen,1,0,1,0,1,0
13123,Providencia,1,0,1,0,0,0
13124,Pudahuel,3,0,1,1,0,0
13125,Quilicura,1,0,0,0,0,0
13126,Quinta Normal,1,0,2,0,0,0
13127,Recoleta,2,0,1,1,2,0
13128,Renca,1,0,1,0,0,0
13129,San Joaquin,1,0,0,0,0,0
13130,San Miguel,1,0,0,0,0,0
13131,San Ramon,1,0,0,0,0,0
13132,Vitacura,1,0,0,1,0,0
13201,Puente Alto,4,1,1,1,0,0
13202,Pirque,1,0,0,0,0,0
13203,San Jose de Maipo,0,0,1,0,1,0
13301,Colina,1,0,1,0,1,0
13302,Lampa,1,0,0,0,2,0
13303,Til Til,0,3,0,0,1,0
13401,San Bernardo,2,0,0,1,0,0
13402,Buin,1,0,1,0,3,0
13403,Calera de Tango,0,0,1,0,0,0
13404,Paine,1,2,0,0,2,0
13501,Melipilla,1,3,0,0,1,0
13502,Alhue,0,0,0,0,1,0
13503,Curacav1,1,0,0,0,1,0
13504,Maria Pinto,0,0,0,0,1,0
13505,San Pedro,0,1,0,0,1,0
13601,Talagante,1,0,0,0,0,0
13602,El Monte,0,1,1,0,1,0
13603,Isla de Maipo,0,1,0,0,1,0
13604,Padre Hurtado,0,0,1,0,1,0
13605,Penaflor,1,0,0,0,1,0
6101,Rancagua,3,0,2,1,0,1
6102,Codegua,0,0,0,0,1,0
6103,Coinco,0,1,0,0,1,0
6104,Coltauco,0,1,0,0,1,0
6105,Donihue,0,1,1,0,0,0
6106,Graneros,1,0,0,0,0,0
6107,Las Cabras,0,1,1,0,1,0
6108,Machali,0,1,1,0,1,0
6109,Malloa,0,1,0,0,1,0
6110,Mostazal,0,1,1,0,0,0
6111,Olivar,0,0,1,0,1,0
6112,Peumo,1,0,0,0,0,0
6113,Pichidegua,0,1,0,0,1,0
6114,Quinta de Tilcoco,0,1,0,0,1,0
6115,Rengo,1,1,0,0,1,0
6116,Requinoa,0,1,1,0,0,0
6117,San Vicente,1,2,0,0,0,0
6201,Pichilemu,1,0,0,0,0,0
6202,La Estrella,0,1,0,0,0,0
6203,Litueche,0,2,0,0,1,0
6204,Marchihue,0,0,0,0,1,0
6205,Navidad,0,1,0,0,1,0
6206,Paredones,0,2,0,0,0,0
6301,San Fernando,1,4,0,1,0,0
6302,Chepica,0,0,0,0,1,0
6303,Chimbarongo,0,0,1,0,1,0
6304,Lolol,0,1,0,0,0,0
