CUT Comuna,Nombre,Población Total,Mujeres en Edad de Trabajar,Mujeres Ocupadas,Mujeres Desocupadas,Hombres en Edad de trabajar,Hombres Ocupados,Hombres Desocupados
15101,Arica,221364,85668,40432,3342,82236,55346,4468
15102,Camarones,1255,431,272,10,611,504,13
15201,Putre,2765,575,396,22,1882,1505,57
15202,General Lagos,684,211,107,3,354,277,13
1101,Iquique,200000,200000,200000,200000,200000,200000,200000
1107,Alto Hospicio,108375,37860,18296,1548,37261,25809,2556
1401,Pozo Almonte,15711,4768,2303,208,7026,5490,435
1403,Camiña,1728,581,332,21,817,630,29
1402,Colchane,1250,436,232,11,515,376,13
1405,Huara,9296,2122,1249,50,5866,5296,141
1404,Pica,2730,894,504,26,1145,892,52
2101,Antofagasta,361873,138675,65280,5735,139099,99504,8761
2102,Mejillones,13467,4029,1959,155,6558,5463,315
2103,Sierra Gorda,10186,1374,1196,28,8472,8297,105
2104,Taltal,13317,4279,1993,146,5850,4774,244
2201,Calama,165731,59119,27941,2456,64875,48110,4397
2202,Ollagüe,321,88,61,1,167,146,5
2203,San Pedro de Atacama,10996,3826,2600,96,5113,4408,150
2301,Tocopilla,25186,9375,3846,420,9111,5993,831
2302,María Elena,6457,1808,1003,45,3525,3084,147
3101,Copiapó,153937,59232,23917,2263,57798,39629,4153
3102,Caldera,17662,6366,2974,217,6850,5058,376
3103,Tierra Amarilla,14019,4656,1467,239,6123,4451,553
3201,Chañaral,12219,4499,1618,232,4684,3161,378
3202,Diego de Almagro,13925,4820,1894,193,5712,4383,427
3301,Vallenar,51917,20081,8502,783,18759,12584,1817
3302,Alto del Carmen,5299,1798,618,74,2303,1570,182
3303,Freirina,7041,2648,995,109,2670,1888,178
3304,Huasco,10149,3716,1642,134,3933,2826,299
4101,La Serena,221054,90064,37816,3385,79758,50368,5408
4102,Coquimbo,227730,90380,38211,3490,81637,55205,5388
4103,Andacollo,11044,4269,1322,113,4214,2630,419
4104,La Higuera,4241,1498,563,30,1707,1193,129
4105,Paihuano,4497,1784,844,63,1800,1285,109
4106,Vicuña,27771,10698,4091,370,10444,7172,677
4201,Illapel,30848,12441,4814,427,11116,7332,763
4202,Canela,9093,3627,1088,77,3705,2084,220
4203,Los Vilos,21382,8010,3552,225,8503,6238,437
4204,Salamanca,29347,10558,4393,375,12414,9314,712
4301,Ovalle,111272,44324,18409,1440,39837,27485,2272
4302,Combarbalá,13322,5311,1758,111,5281,3337,299
4303,Monte Patria,30751,11787,4153,381,11410,7916,747
4304,Punitaqui,10956,4151,1272,120,4029,2563,212
4305,Río Hurtado,4278,1732,568,42,1754,1108,114
5101,Valparaíso,296655,123394,56451,4173,115293,74901,5503
5102,Casablanca,26867,10648,4651,321,10451,7620,439
5103,Concón,42152,17624,8465,537,15830,10966,759
5104,Juan Fernández,926,329,195,4,396,352,14
5105,Puchuncaví,18546,7271,3103,204,7297,5029,381
