Nombre,Ciudad,Region ,Apertura,Capacidad,Equipos Locales,,,
Estadio Nacional Julio Martínez Prádanos,Santiago (Ñuñoa),Metropolitana,1938 (2010),48 665,"Selección de fútbol de Chile,,,
Universidad de Chile,,,,,,,,
Estadio Monumental David Arellano,Santiago (Macul),Metropolitana,1975 (1989),47 347,Colo-Colo,,,
Estadio Ester Roa Rebolledo,Concepción,Biobío,1962 (2015),30 448 ,"Deportes Concepción,,,
Universidad de Concepción,,,,,,,,
Fernández Vial,,,,,,,,
Estadio Sausalito,Viña del Mar,Valparaíso,1929 (2015),23 423 ,Everton,,,
Estadio Regional Calvo y Bascuñán,Antofagasta,Antofagasta,1964 (2013),21 178 ,Deportes Antofagasta,,,
Estadio Elías Figueroa Brander,Valparaíso,Valparaíso,1931 (2014),20 575 ,Santiago Wanderers,,,
Estadio Santa Laura - Universidad SEK,Santiago (Independencia),Metropolitana,1923 (2008),19 887 ,Unión Española,,,
Estadio Francisco Sánchez Rumoroso,Coquimbo,Coquimbo,1970 (2008),18 750 ,Coquimbo Unido,,,
Estadio Germán Becker,Temuco,La Araucanía,1965 (2008),18 413 ,Deportes Temuco,,,
Estadio La Portada,La Serena,Coquimbo,1952 (2015),18 243 ,Deportes La Serena,,,
Estadio Fiscal de Talca,Talca,Maule,1930 (2019),16 070,Rangers de Talca,,,
Estadio San Carlos de Apoquindo,Santiago (Las Condes),Metropolitana,1988 (2012),14 780 ,Universidad Católica,,,
Estadio El Teniente,Rancagua,'O''Higgins',1945 (2015),13 849 ,'O''Higgins',,,
Estadio Tierra de Campeones,Iquique,Tarapacá,1993 (2020),13 171 ,Deportes Iquique,,,
Estadio Zorros del Desierto,Calama,Antofagasta,1952 (2015),12 102 ,Cobreloa,,,
Estadio Bicentenario de La Florida,Santiago (La Florida),Metropolitana,2008,12 000 ,Audax Italiano,,,
Estadio Bicentenario Nelson Oyarzún,Chillán,Ñuble,1961 (2008),12 000 ,Ñublense,,,
Estadio El Cobre,El Salvador,Atacama,1980,11 240,Cobresal,,,
Estadio Rubén Marcos Peralta,Osorno,Los Lagos,1940,11 000 ,Provincial Osorno,,,
