CUT REGIONAL,Comuna,Establecimiento,Teléfono,,,,,
15101,Arica,Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Arica),,,,,,
15101,Arica,PRAIS (S.S Arica),,,,,,
15101,Arica,Clínica Dental Móvil Simple. Pat. PW4076 (Arica),,,,,,
15101,Arica,Oficina Sanitaria Chacalluta,,,,,,
15101,Arica,Hospital Dr. Juan Noé Crevanni (Arica),582584592,,,,,
15101,Arica,Clínica Hebe,582251921,,,,,
15101,Arica,Clínica San Agustín,582231223,,,,,
15101,Arica,Clínica San José,582533496,,,,,
15101,Arica,Clínica Arica,582241300,,,,,
15101,Arica,Complejo Penitenciario,582203400,,,,,
15101,Arica,Servicio Médico Estudiantil,582205131,,,,,
15101,Arica,Centro Clínico Militar Arica,582232478,,,,,
15101,Arica,Policlínico del Trabajador AChS Arica,582231239,,,,,
15101,Arica,Instituto de Rehabilitación Infantil TELETÓN (Arica),582224703,,,,,
15101,Arica,Centro Médico Monte Sinaí,582250911,,,,,
15101,Arica,Clínica Santo Domingo,582247654,,,,,
15101,Arica,Centro Integral de Salud,582231617,,,,,
15101,Arica,Policlínico Institucional de Gendarmería de Chile (Arica),582255825,,,,,
15101,Arica,Policlínico del Agricultor,582229313,,,,,
15101,Arica,Centro Odontológico Arisa,582231249,,,,,
15101,Arica,Centro de Salud Mutual CChC Arica,582241237,,,,,
15101,Arica,Centro Dental Megasalud SpA,582232258,,,,,
15101,Arica,Clínica Dr. Héctor Sánchez,582252498,,,,,
15101,Arica,Clínica Mella Arica y Compañía Ltda.,582256854,,,,,
15101,Arica,Policlínico Médico-Dental de Carabineros,582244503,,,,,
15101,Arica,Laboratorio Clínico San José Ltda.,582593038,,,,,
15101,Arica,Laboratorio Bionet,582230097,,,,,
15101,Arica,Laboratorio Clínico y Hematológico Diagnotest,582251055,,,,,
15101,Arica,Laboratorio Clínico Central,582253350,,,,,
15101,Arica,Laboratorio Clínico San Martín,582232204,,,,,
15101,Arica,Laboratorio Clínico Dialab,582258073,,,,,
15101,Arica,Laboratorio Clínico del Norte - Labonorte,582233466,,,,,
15101,Arica,Laboratorio Clínico Chungará,582252172,,,,,
15101,Arica,Laboratorio Clínico Biolascer,582251055,,,,,
15101,Arica,Centro de Salud Familiar Víctor Bertín Soto,800500103,,,,,
15101,Arica,Centro de Salud Familiar Dr. Amador Neghme de Arica,800500101,,,,,
15101,Arica,Centro de Salud Familiar E. U. Iris Véliz Hume (Ex Oriente),800500102,,,,,
15201,Putre,Centro de Salud Familiar Putre,582200261,,,,,
15101,Arica,Centro de Salud Familiar Remigio Sapunar,582204306,,,,,
15101,Arica,Centro de Salud Ambiental de Arica,582583690,,,,,
15101,Arica,Centro de Salud Familiar Eugenio Petruccelli Astudillo (ex Punta Norte),,,,,,
15101,Arica,Posta de Salud Rural San Miguel de Azapa,,,,,,
15101,Arica,Posta de Salud Rural Poconchile,,,,,,
15201,Putre,Posta de Salud Rural Belén (Putre),,,,,,
15202,General Lagos,Posta de Salud Rural Visviri,,,,,,
15202,General Lagos,Posta de Salud Rural Alcérreca,,,,,,
15102,Camarones,Posta de Salud Rural Codpa,,,,,,
15201,Putre,Posta de Salud Rural Ticnamar,,,,,,
15101,Arica,Posta de Salud Rural Sobraya,,,,,,
15101,Arica,Centro de Salud Mental Comunitaria Norte,582204050,,,,,15202
15101,Arica,ESSMA Sur de Arica,582204100,,,,,
15101,Arica,Centro Comunitario de Salud Familiar Dr. Miguel Massa,,,,,,
15101,Arica,Centro Comunitario de Salud Familiar Dr. René García Valenzuela,,,,,,
15101,Arica,Centro Comunitario de Salud Familiar Cerro La Cruz,582204370,,,,,
15101,Arica,Policlínico Instituto de Seguridad del Trabajo,,,,,,
15101,Arica,SAPU Marco Antonio Carvajal Moreno,582204846,,,,,
15101,Arica,SAPU Iris Véliz Hume,582203682,,,,,
15101,Arica,Centro Médico Lifemed,,,,,,
1101,Iquique,Policlínico Centro de Cumplimiento Penitenciario Iquique,572407900,,,,,
1401,Pozo Almonte,Policlínico de Atención Primaria del Centro de Detención Preventiva de Pozo Almonte,572751228,,,,,
1405,Huara,SAPU Huara,572751590,,,,,
1107,Alto Hospicio,CCUT REGIONAL,Comuna,Establecimiento,Teléfono,,,,,
15101,Arica,Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Arica),,,,,,
15101,Arica,PRAIS (S.S Arica),,,,,,
15101,Arica,Clínica Dental Móvil Simple. Pat. PW4076 (Arica),,,,,,
15101,Arica,Oficina Sanitaria Chacalluta,,,,,,
15101,Arica,Hospital Dr. Juan Noé Crevanni (Arica),582584592,,,,,
15101,Arica,Clínica Hebe,582251921,,,,,
15101,Arica,Clínica San Agustín,582231223,,,,,
15101,Arica,Clínica San José,582533496,,,,,
15101,Arica,Clínica Arica,582241300,,,,,
15101,Arica,Complejo Penitenciario,582203400,,,,,
15101,Arica,Servicio Médico Estudiantil,582205131,,,,,
15101,Arica,Centro Clínico Militar Arica,582232478,,,,,
15101,Arica,Policlínico del Trabajador AChS Arica,582231239,,,,,
15101,Arica,Instituto de Rehabilitación Infantil TELETÓN (Arica),582224703,,,,,
15101,Arica,Centro Médico Monte Sinaí,582250911,,,,,
15101,Arica,Clínica Santo Domingo,582247654,,,,,
15101,Arica,Centro Integral de Salud,582231617,,,,,
15101,Arica,Policlínico Institucional de Gendarmería de Chile (Arica),582255825,,,,,
15101,Arica,Policlínico del Agricultor,582229313,,,,,
15101,Arica,Centro Odontológico Arisa,582231249,,,,,
15101,Arica,Centro de Salud Mutual CChC Arica,582241237,,,,,
15101,Arica,Centro Dental Megasalud SpA,582232258,,,,,
15101,Arica,Clínica Dr. Héctor Sánchez,582252498,,,,,
15101,Arica,Clínica Mella Arica y Compañía Ltda.,582256854,,,,,
15101,Arica,Policlínico Médico-Dental de Carabineros,582244503,,,,,
15101,Arica,Laboratorio Clínico San José Ltda.,582593038,,,,,
15101,Arica,Laboratorio Bionet,582230097,,,,,
15101,Arica,Laboratorio Clínico y Hematológico Diagnotest,582251055,,,,,
15101,Arica,Laboratorio Clínico Central,582253350,,,,,
15101,Arica,Laboratorio Clínico San Martín,582232204,,,,,
15101,Arica,Laboratorio Clínico Dialab,582258073,,,,,
15101,Arica,Laboratorio Clínico del Norte - Labonorte,582233466,,,,,
15101,Arica,Laboratorio Clínico Chungará,582252172,,,,,
15101,Arica,Laboratorio Clínico Biolascer,582251055,,,,,
15101,Arica,Centro de Salud Familiar Víctor Bertín Soto,800500103,,,,,
15101,Arica,Centro de Salud Familiar Dr. Amador Neghme de Arica,800500101,,,,,
15101,Arica,Centro de Salud Familiar E. U. Iris Véliz Hume (Ex Oriente),800500102,,,,,
15201,Putre,Centro de Salud Familiar Putre,582200261,,,,,
15101,Arica,Centro de Salud Familiar Remigio Sapunar,582204306,,,,,
15101,Arica,Centro de Salud Ambiental de Arica,582583690,,,,,
15101,Arica,Centro de Salud Familiar Eugenio Petruccelli Astudillo (ex Punta Norte),,,,,,
15101,Arica,Posta de Salud Rural San Miguel de Azapa,,,,,,
15101,Arica,Posta de Salud Rural Poconchile,,,,,,
15201,Putre,Posta de Salud Rural Belén (Putre),,,,,,
15202,General Lagos,Posta de Salud Rural Visviri,,,,,,
15202,General Lagos,Posta de Salud Rural Alcérreca,,,,,,
15102,Camarones,Posta de Salud Rural Codpa,,,,,,
15201,Putre,Posta de Salud Rural Ticnamar,,,,,,
15101,Arica,Posta de Salud Rural Sobraya,,,,,,
15101,Arica,Centro de Salud Mental Comunitaria Norte,582204050,,,,,15202
15101,Arica,ESSMA Sur de Arica,582204100,,,,,
15101,Arica,Centro Comunitario de Salud Familiar Dr. Miguel Massa,,,,,,
15101,Arica,Centro Comunitario de Salud Familiar Dr. René García Valenzuela,,,,,,
15101,Arica,Centro Comunitario de Salud Familiar Cerro La Cruz,582204370,,,,,
15101,Arica,Policlínico Instituto de Seguridad del Trabajo,,,,,,
15101,Arica,SAPU Marco Antonio Carvajal Moreno,582204846,,,,,
15101,Arica,SAPU Iris Véliz Hume,582203682,,,,,
15101,Arica,Centro Médico Lifemed,,,,,,
1101,Iquique,Policlínico Centro de Cumplimiento Penitenciario Iquique,572407900,,,,,
1401,Pozo Almonte,Policlínico de Atención Primaria del Centro de Detención Preventiva de Pozo Almonte,572751228,,,,,
1405,Huara,SAPU Huara,572751590,,,,,
1107,Alto Hospicio,Centro de Diálisis Alto Hospicio,572324823,,,,,
1101,Iquique,Laboratorio Médico Bioclinic Ltda.,,,,,,
1101,Iquique,Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Iquique),,,,,,
1101,Iquique,PRAIS (S.S. Iquique),,,,,,
1101,Iquique,Clínica Dental Móvil Simple. Pat. RW6740 (Iquique),572406100,,,,,
1101,Iquique,Hospital Dr. Ernesto Torres Galdames (Iquique),572575861,,,,,
1101,Iquique,Clínica Iquique,572393200,,,,,
1101,Iquique,Clínica Tarapacá,572397000,,,,,
